"filename", "language", "TypeScript", "JSON with Comments", "XML", "Markdown", "Prisma", "JSON", "MS SQL", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\ashis\bytecraft\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 12, 117
"c:\Users\ashis\bytecraft\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 8, 67
"c:\Users\ashis\bytecraft\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\ashis\bytecraft\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 7, 25
"c:\Users\ashis\bytecraft\lib\stripe.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ashis\bytecraft\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ashis\bytecraft\next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 5, 31
"c:\Users\ashis\bytecraft\package-lock.json", "JSON", 0, 0, 0, 0, 0, 8376, 0, 0, 0, 0, 0, 1, 8377
"c:\Users\ashis\bytecraft\package.json", "JSON", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 60
"c:\Users\ashis\bytecraft\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\ashis\bytecraft\prisma\migrations\20250502064432_new\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 2, 14
"c:\Users\ashis\bytecraft\prisma\products.json", "JSON", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 3, 111
"c:\Users\ashis\bytecraft\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\ashis\bytecraft\prisma\seed.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\ashis\bytecraft\public\file.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\bytecraft\public\globe.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\bytecraft\public\next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\bytecraft\public\vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\bytecraft\public\window.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\bytecraft\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\ashis\bytecraft\utils\Mcp.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\ashis\bytecraft\utils\actions.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\ashis\bytecraft\utils\db.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\ashis\bytecraft\utils\format.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ashis\bytecraft\utils\links.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 257, 42, 5, 1307, 18, 10588, 11, 65, 3003, 140, 71, 666, 16173
